N,T,D,g_tr
54,0,0,0.14973640000004096
54,0,1,0.14973640000004096
54,0,2,0.14973640000004096
54,0,3,0.14973640000004096
54,1,0,0.14973640000004096
54,1,1,0.14973640000004096
54,1,2,0.14973640000004096
54,1,3,0.14973640000004096
54,2,0,0.14973640000004096
54,2,1,0.14973640000004096
54,2,2,0.14973640000004096
54,2,3,0.14973640000004096
54,3,0,0.14973640000004096
54,3,1,0.14973640000004096
54,3,2,0.14973640000004096
54,3,3,0.14973640000004096
54,4,0,0.14973640000004096
54,4,1,0.14973640000004096
54,4,2,0.14973640000004096
54,4,3,0.14973640000004096
54,5,0,0.3389822855594531
54,5,1,0.3357337022256388
54,5,2,0.40779350222563693
54,5,3,0.2669224855594443
54,6,0,0.299270305556405
54,6,1,0.29927030555640144
54,6,2,0.37133010555639956
54,6,3,0.22721050555641398
54,7,0,0.299270305556405
54,7,1,0.29927030555640144
54,7,2,0.37133010555639956
54,7,3,0.22721050555641398
54,8,0,0.299270305556405
54,8,1,0.29927030555640144
54,8,2,0.37133010555639956
54,8,3,0.22721050555641398
54,9,0,0.7588492555640158
54,9,1,0.47061005556403046
54,9,2,0.542669855564025
54,9,3,0.39855025556402524
54,10,0,0.6541550000000349
54,10,1,0.37133010555639956
54,10,2,0.44338990555640123
54,10,3,0.299270305556405
54,11,0,0.6541550000000349
54,11,1,0.37133010555639956
54,11,2,0.44338990555640123
54,11,3,0.299270305556405
54,12,0,0.6541550000000349
54,12,1,0.37133010555639956
54,12,2,0.44338990555640123
54,12,3,0.299270305556405
54,13,0,0.7471536511128392
54,13,1,0.4589144511128431
54,13,2,0.5309742511128377
54,13,3,0.38685465111283435
54,14,0,0.7316291055564079
54,14,1,0.4433899055564048
54,14,2,0.5154497055564065
54,14,3,0.36591580000003887
54,15,0,0.7316291055564079
54,15,1,0.4433899055564048
54,15,2,0.5154497055564065
54,15,3,0.36591580000003887
54,16,0,0.7316291055564079
54,16,1,0.4433899055564048
54,16,2,0.5154497055564065
54,16,3,0.36591580000003887
54,17,0,0.7316291055564079
54,17,1,0.4433899055564048
54,17,2,0.5154497055564065
54,17,3,0.36591580000003887
54,18,0,0.26224472838753243
54,18,1,0.262244728387536
54,18,2,0.33430452838753766
54,18,3,0.19018492838753076
54,19,0,0.37133010555639956
54,19,1,0.37133010555639956
54,19,2,0.44338990555640123
54,19,3,0.299270305556405
54,20,0,0.2784337728387527
54,20,1,0.3504935728387579
54,20,2,0.27843377283875625
54,20,3,0.27350073888739956
54,21,0,0.299270305556405
54,21,1,0.37133010555639956
54,21,2,0.299270305556405
54,21,3,0.299270305556405
54,22,0,0.2063739728387617
54,22,1,0.2063739728387617
54,22,2,0.2063739728387617
54,22,3,0.2014409388873979
54,23,0,0.2063739728387617
54,23,1,0.2063739728387617
54,23,2,0.2063739728387617
54,23,3,0.2014409388873979
